,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
0,12,ene7-weights-814m,4.0,-18.799999999999365,31.400000000000073,33.75,262.75,12,ene7-weights-814m,4.0,-18.799999999999365,31.400000000000073,33.75,262.75
1,43,ene7-weights-897m,4.0,-90.5999999999992,27.425000000000097,38.75,229.375,40,ene1-weights-897,3.0,-18.999999999999545,28.87500000000005,31.25,284.5
2,28,ene7-weights-555m,4.0,-142.79999999999927,23.40000000000009,41.25,288.875,59,ene2-weights-814,3.0,-25.999999999999773,33.00000000000003,36.25,300.875
3,48,ene2-weights-956m,4.0,-87.79999999999919,21.525000000000098,32.5,279.5,48,ene2-weights-956m,4.0,-87.79999999999919,21.525000000000098,32.5,279.5
4,10,ene2-weights-296m,4.0,-132.9999999999992,20.875000000000092,37.5,257.75,43,ene7-weights-897m,4.0,-90.5999999999992,27.425000000000097,38.75,229.375
5,44,ene7-weights-399,4.0,-126.19999999999925,20.47500000000009,36.25,219.625,36,ene7-weights-734m,4.0,-116.99999999999936,20.375000000000078,35.0,294.0
6,36,ene7-weights-734m,4.0,-116.99999999999936,20.375000000000078,35.0,294.0,44,ene7-weights-399,4.0,-126.19999999999925,20.47500000000009,36.25,219.625
7,59,ene2-weights-814,3.0,-25.999999999999773,33.00000000000003,36.25,300.875,10,ene2-weights-296m,4.0,-132.9999999999992,20.875000000000092,37.5,257.75
8,40,ene1-weights-897,3.0,-18.999999999999545,28.87500000000005,31.25,284.5,25,ene7-weights-956m,3.0,-133.39999999999947,27.075000000000074,43.75,258.75
9,39,ene1-weights-897m,3.0,-221.59999999999985,27.30000000000001,55.0,259.25,28,ene7-weights-555m,4.0,-142.79999999999927,23.40000000000009,41.25,288.875
10,56,ene7-weights-197m,3.0,-142.99999999999955,27.125000000000057,45.0,345.625,56,ene7-weights-197m,3.0,-142.99999999999955,27.125000000000057,45.0,345.625
11,25,ene7-weights-956m,3.0,-133.39999999999947,27.075000000000074,43.75,258.75,6,ene1-weights-197m,2.0,-154.79999999999995,24.400000000000006,43.75,252.875
12,53,ene7-weights-814,3.0,-188.59999999999945,22.67500000000006,46.25,268.0,11,ene1-weights-555m,2.0,-155.39999999999966,20.575000000000045,40.0,396.625
13,20,ene7-weights-457,3.0,-220.7999999999995,21.150000000000077,48.75,299.125,27,ene1-weights-457,2.0,-168.19999999999973,21.475000000000037,42.5,343.875
14,50,ene7-weights-897,3.0,-252.5999999999996,20.925000000000054,52.5,233.625,30,ene7-weights-734,3.0,-171.1999999999994,16.100000000000065,37.5,250.0
15,1,ene2-weights-734m,3.0,-171.19999999999948,19.850000000000065,41.25,298.125,1,ene2-weights-734m,3.0,-171.19999999999948,19.850000000000065,41.25,298.125
16,2,ene7-weights-197,3.0,-262.1999999999996,19.72500000000006,52.5,239.75,53,ene7-weights-814,3.0,-188.59999999999945,22.67500000000006,46.25,268.0
17,15,ene7-weights-399m,3.0,-216.1999999999996,16.725000000000065,43.75,257.125,58,ene1-weights-956,2.0,-188.79999999999973,21.400000000000034,45.0,260.125
18,30,ene7-weights-734,3.0,-171.1999999999994,16.100000000000065,37.5,250.0,19,ene2-weights-136,2.0,-211.59999999999968,16.05000000000004,42.5,351.125
19,45,ene2-weights-197,3.0,-222.1999999999996,14.72500000000006,42.5,259.0,15,ene7-weights-399m,3.0,-216.1999999999996,16.725000000000065,43.75,257.125
20,4,ene2-weights-897,2.0,-275.99999999999955,29.250000000000057,63.75,304.75,20,ene7-weights-457,3.0,-220.7999999999995,21.150000000000077,48.75,299.125
21,6,ene1-weights-197m,2.0,-154.79999999999995,24.400000000000006,43.75,252.875,39,ene1-weights-897m,3.0,-221.59999999999985,27.30000000000001,55.0,259.25
22,54,ene1-weights-555,2.0,-234.79999999999995,24.400000000000006,53.75,319.0,45,ene2-weights-197,3.0,-222.1999999999996,14.72500000000006,42.5,259.0
23,9,ene1-weights-296,2.0,-234.39999999999986,23.200000000000017,52.5,272.625,46,ene1-weights-734m,2.0,-227.79999999999964,20.27500000000005,48.75,346.75
24,16,ene1-weights-399,2.0,-290.3999999999998,22.450000000000017,58.75,283.0,9,ene1-weights-296,2.0,-234.39999999999986,23.200000000000017,52.5,272.625
25,32,ene1-weights-814m,2.0,-365.7999999999997,21.775000000000034,67.5,376.625,54,ene1-weights-555,2.0,-234.79999999999995,24.400000000000006,53.75,319.0
26,24,ene1-weights-136,2.0,-236.39999999999972,21.70000000000003,51.25,451.25,24,ene1-weights-136,2.0,-236.39999999999972,21.70000000000003,51.25,451.25
27,41,ene1-weights-457m,2.0,-306.9999999999998,21.62500000000003,60.0,244.5,14,ene1-weights-136m,2.0,-251.79999999999973,21.025000000000034,52.5,346.25
28,27,ene1-weights-457,2.0,-168.19999999999973,21.475000000000037,42.5,343.875,50,ene7-weights-897,3.0,-252.5999999999996,20.925000000000054,52.5,233.625
29,58,ene1-weights-956,2.0,-188.79999999999973,21.400000000000034,45.0,260.125,2,ene7-weights-197,3.0,-262.1999999999996,19.72500000000006,52.5,239.75
30,14,ene1-weights-136m,2.0,-251.79999999999973,21.025000000000034,52.5,346.25,29,ene2-weights-197m,2.0,-268.9999999999998,15.125000000000032,48.75,349.625
31,26,ene7-weights-136m,2.0,-314.5999999999999,20.67500000000001,60.0,311.375,21,ene2-weights-956,2.0,-270.99999999999966,18.625000000000043,52.5,242.625
32,13,ene1-weights-197,2.0,-274.99999999999955,20.62500000000007,55.0,433.75,13,ene1-weights-197,2.0,-274.99999999999955,20.62500000000007,55.0,433.75
33,11,ene1-weights-555m,2.0,-155.39999999999966,20.575000000000045,40.0,396.625,4,ene2-weights-897,2.0,-275.99999999999955,29.250000000000057,63.75,304.75
